Area,American_Indian_Or_Native,Asian,Black,Hispanic,Other_Race,Two_or_More_Races,White
137302,0.24336283,8.5840712,2.1681416,5.4203539,0,3.1858406,80.398232
137401,0.91178483,11.853203,6.7016182,9.6421242,0,5.1287894,65.762482
137402,0,5.2548609,8.0049047,15.659485,0,4.2739534,66.806793
137501,0.39389464,11.546037,3.5942886,20.162481,0.1723289,2.0679469,62.063023
137502,0.17002672,3.1819286,6.5824628,16.492592,0,4.1049309,69.468056
137504,0,2.2693636,1.0360138,2.5653675,0,1.8253577,92.303894
138000,0.14780405,6.5033784,3.2516892,8.1925678,0.23226352,1.4569256,80.21537
139001,0,9.6334009,2.5661914,20.773932,0,4.6435847,62.382893
139200,0.89349538,8.8992138,2.6626163,28.8599,0,1.161544,57.523232
139301,0,5.9771523,1.7543859,14.116687,0,4.1003671,74.051407
139302,0,8.5940847,8.9155598,32.42606,0,6.4294901,43.634804
139303,0,7.7740111,6.5762711,29.604519,0,3.141243,52.903954
139401,0,5.6135769,3.9164491,43.276764,2.5130548,4.2754569,40.404701
139402,0,3.0619345,4.9756436,6.750174,2.0876827,2.1920669,80.932495
139502,0,11.330698,0.16469038,12.15415,0.36231884,3.5902503,72.397888
139503,0,8.7749481,7.794219,8.4652443,0,8.5856848,66.379906
139504,0,2.3222883,2.7470973,8.8360233,0.33984706,7.0801473,78.674599
139600,0,2.2001727,4.4866266,7.2691975,0,2.1138914,83.930115
139701,0.38213998,6.5768304,0.9654063,4.3443284,0.28157684,1.5888978,85.860817
139702,0,3.8594756,3.7605145,3.8264885,0,1.5174006,87.036118
139703,0.32444125,6.3446288,0.57678443,4.3619323,0,6.741168,81.651047
139801,0,7.4592075,0.99067599,7.2843823,0,2.0104895,82.255241
139802,0,7.4730353,0,5.7524395,0.5392912,5.8038006,80.431435
141101,0,9.045331,5.2433677,14.038019,0,2.4023397,69.270943
141102,0,8.4751415,8.4417753,8.942276,0,3.5702369,70.570572
141201,0,9.2734222,2.8680689,24.378586,0.64531547,4.8518167,57.982792
141202,0,3.5664337,1.7832168,8.3566437,0,4.090909,82.202797
141302,0,11.608855,6.6411018,11.521701,0.15687642,1.7430713,68.328392
141303,0.59974748,7.4179292,1.7045455,6.8813133,0.88383836,5.965909,76.546715
141304,0,6.2020264,4.6975746,9.6407738,0,8.566165,70.893463
141400,0,8.1844254,3.419369,5.1621442,0,0.28678578,82.947273
141500,0,6.5282893,1.0378306,7.9678607,0.4686977,0.56913292,83.428192
141600,0.93795091,6.2289562,3.4151034,5.964406,0,3.1505532,80.303032
141700,0.96680632,7.1865935,2.0302932,4.8984852,0,4.769578,80.148247
143100,0.86837292,5.1416817,5.621572,11.768739,0,3.6334553,72.966179
143200,0,5.6148372,7.7997966,18.343496,0,6.2245936,62.017277
143300,0,5.9287381,11.200351,15.610397,0,1.7961448,65.464371
143400,0.87173098,3.2534246,3.9227896,10.849937,0,6.0865502,75.015564
143500,1.1469839,4.6304164,11.321156,10.662702,0,1.5717927,70.666946
143602,0,4.4406853,4.5464158,10.213575,0.40177628,6.9782195,73.419327
143603,0.31152648,8.8117495,5.2514462,11.748999,0,4.2278595,69.648422
143604,1.54880186,15.312683,7.1011105,11.893629,0.46756282,4.0035067,59.672707
143700,0,10.03861,4.4125757,4.1643686,1.1858797,4.6883616,75.510201
143800,0,9.3268013,1.5605153,14.153511,0,1.8145527,73.144623
143901,0,8.5295534,0.40845746,5.1898127,0,2.0663142,83.805862
143902,0.43290045,6.9264069,0.83250082,7.4259076,0.19980019,2.8305027,81.351982
181000,0,21.726433,1.0060036,34.139217,0,2.3852019,40.743145
181300,0,26.140127,0.84076434,36.713375,0,1.3757962,34.929935
181400,0.19484738,27.776575,1.4288807,42.108681,0.8443386,1.558779,26.087898
181500,0.33487892,18.031942,0,48.918083,0,2.1895931,30.525503
181600,0,23.76943,1.4464594,40.889465,0,4.2530227,29.641623
183101,0,9.9646063,1.7152191,68.282059,0.40838552,3.1581814,16.47155
183103,0,11.269196,4.8328815,72.448059,0,2.6874435,8.7624207
183104,1.62229618,22.795341,0.70715475,53.452579,0,1.6638935,19.758736
183220,1.209406469,16.170214,0.94064951,70.839867,0,1.9260918,8.9137735
183221,0.28462997,4.8070841,0.34788108,67.235924,0.79063886,2.5616698,23.97217
183222,0,15.953757,4.6242776,49.710983,0,1.7919075,27.919075
183300,0,23.803864,0.77265972,61.099556,0,0.29717681,14.026746
183401,0,16.666666,1.2345679,66.872429,0,0.94650203,14.279836
183402,0.39267015,26.636126,0.19633508,48.920158,0,2.4541886,21.400524
183510,0.19833399,6.545022,0.47600159,76.87426,0,0.35700119,15.549385
183520,0,5.9517565,4.1688514,77.530151,0,1.2323021,11.116938
183610,0.39886039,6.0683761,0.8262108,81.709404,0.17094018,1.1396011,9.6866093
183620,0.5714286,7.2481203,1.2330827,74.466164,0.39097744,1.6842105,14.406015
