Area,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
234600,0,66.060608
234700,0,52.64423
234800,1.9762846,53.75494
234901,0,54.838711
234902,0,56.507938
235100,0,36.477116
235201,0,62.44635
235202,4.1079812,54.577465
236000,0,28.799999
236100,0,60.768333
236202,0,52.391464
236203,0,62.971428
236204,0,72.437675
236400,9.6681099,41.702744
237101,0,58.265583
237102,0.55066079,59.581497
237201,0,31.241997
237202,0,54.52055
237300,0,50.700073
237401,0,31.869255
237402,0,35.854923
237500,0.59665871,59.427208
237600,0,46.62096
237710,3.4005039,55.289673
237720,0,65.992645
237800,0.80552357,55.811275
237900,0.69033533,51.282051
238000,0,62.199844
238100,0,58.909092
238200,0,61.350975
238310,0.95663267,56.823978
238320,0,43.695919
238400,0,74.909088
239201,0,63.076923
239202,0,50.599522
239310,0,54.471546
239320,2.1018593,51.899757
239330,0,43.359375
239501,3.164557,67.631104
239502,0,59.159664
239601,0,56.764496
239602,0,59.691807
239701,0,57.774311
239702,5.8823528,63.190731
239801,0,58.510639
239802,0,51.625748
240010,0,65.596649
240020,0,53.744724
240200,0,53.111355
240300,0,44.770153
240401,0.94199306,54.685177
240402,0,42.67281
240500,2.2365592,58.709679
240600,0,63.464054
240700,0,60.996563
240800,2.7266963,49.524414
240900,1.4338576,56.6605
241001,7.6014762,52.767529
241002,0,54.389576
241110,0,54.148083
241120,2.660754,62.804878
241201,0,34.615383
241202,0,48.97541
241300,1.6666666,65.666664
241400,0,23.346693
242000,0.93770933,55.927662
242100,0,75.984848
242200,0,55.081303
242300,0,38.75803
242600,0,77.31765
242700,0,54.055527
243000,0,53.290009
243100,0.84226644,61.71516
261101,2.8350515,13.015464
261102,0,20.644217
261200,0,22.535212
262100,0,19.928825
262200,0,19.03409
262301,2.8099174,25.950413
262302,0,20.408163
262303,0,6.9875774
262400,3.7333333,15.066667
262501,0,19.258089
262601,0,4.3388429
262604,0,13.352073
262704,0,9.3380613
262706,0,14.185639
262802,0,10.742857
264000,0,3.1666667
264102,0,29.122807
264103,0,21.653543
264301,0,6.2146893
264302,0,12.106918
265100,0,30.33419
265201,0,9.5808382
265202,0,10.256411
265301,,
265303,59.459461,13.513514
265304,47.826088,0
265305,0,0
265410,0,33.223682
265420,0,15.434783
265510,0,18.316832
265520,0,21.321962
265601,0,23.317308
265602,0,7.4433656
265700,0,6.2087188
267100,0,26.373627
267200,0,26.973684
267300,0,14.423077
267402,0,15.757576
267403,5.5837564,9.1370554
267404,0,29.55801
267501,0,32.509506
267502,0,28.841608
267600,0,36.914063
267700,0,8.1560287
267800,0,10.452418
267901,0,30.711611
267902,1.7595308,13.343108
269000,0,10.814928
269100,1.3681592,12.562189
269300,0,16.363636
269500,0,5.1495018
269601,7.2083879,37.090431
269602,0,42.042042
269700,0,15.351506
269800,0,38.365898
269903,0,11.157024
269904,0,48.641304
269905,0,61.057693
269906,0,19.477434
269907,0,44.623657
270100,0,53.556484
270200,0,41.541039
270300,0,33.163265
271100,0,29.175051
271200,0,34.517765
271300,0,12.537313
271400,0,8.1987581
271500,0,13.547237
271600,0,21.954161
271701,0,12.757201
271702,0,18.459658
271801,0,38.04348
271802,0,14.922049
271901,0,31.088825
271902,0,5.736434
272100,1.0556622,21.305182
272201,0,38.781162
272202,0,14.808652
272301,0,16.63113
272302,0,30.804077
273100,0,24.778761
273200,0,33.629894
273300,8.8379707,36.824879
273402,0,16.82243
273502,0,12.875537
273600,0,45
273700,2.3758099,16.630669
273800,0,39.352642
273902,0,18.218624
274100,0,49.239544
274202,0,12.383901
275101,0,18.75
275102,0,22.700119
275200,0,19.268635
275302,0,40.7173
275311,0,31.366119
275400,0,37.306843
275500,0,40.901772
275602,0,25.261585
275603,0,49.521988
276000,0,23.477299
276100,0,57.785088
276400,0,7.5691414
276500,0,9.2592592
276601,0,21.870047
276603,0,5.821918
276604,0,11
277000,0,8.7765961
277100,0,16.350365
277200,0,41.758244
277400,0,72.959183
278001,0,18.393234
278102,0,27.631578
291110,0,72.172173
291120,0,33.667622
291130,0,22.996058
291210,0,55.35149
291220,0,43.048897
291300,0,24.62006
292000,0,58.986176
293201,0,40.093395
293202,0.28680688,36.089867
293301,0,25.201612
293302,1.6344725,43.462109
293304,0,37.323177
293306,0,35.390945
293307,1.1527377,46.685879
294110,0,52.922836
294120,0,46.540882
294200,0,45.021381
294301,0,25.475842
294302,0,53.905785
294410,3.6240785,56.572483
294421,0.46242774,43.930637
294510,0,45.081966
294520,0,40.653358
294610,0,47.538338
294620,0,46.20631
294701,0,57.116451
294810,0,57.910446
294820,0,41.364605
294830,0,43.376415
294900,0,75.514877
295103,0,26
296210,0,58.010334
296220,0,53.623188
296300,1.3574661,19.683258
296401,0,22.125181
296402,5.6338029,16.901409
296500,0,37.053978
296600,0,66.101692
296901,0,56.195045
296902,0,41.189426
297000,0,38.598129
297110,0,42.270863
297120,0.78817731,26.009851
297201,6.6037736,27.762804
297202,0,37.64706
297300,0.92105263,17.763159
297400,1.1976048,24.101797
297500,0,37.989323
297601,0,28.363047
297602,0,46.351933
300100,0,4.0816326
300200,0,20.120121
300301,0,12.142359
300400,0,19.629927
300501,2.8571429,32.857143
300502,2.8649385,28.240108
300600,0,12.50579
300701,0,27.992151
300702,0,14.072229
300800,1.2704175,26.557774
300901,0,4.7939444
300902,0,24.054054
301000,0,26.700508
301100,0,24.713741
301203,0,20.182095
301204,0,22.097378
301205,0,4.7945204
301206,0,5.989305
301300,4.0358744,7.8475337
301400,0,12.643678
301501,0,7.7220078
301502,0,13.761468
301601,0,19.184124
301602,0,36.316471
301701,1.446281,21.074381
301702,6.6462169,37.423313
301801,0,39.716312
301802,0,9.1917591
301900,0,15.360253
302002,2.4539878,28.834356
302003,0,0
302004,0,14.736842
302102,6.0529633,26.733921
302103,0,27.5
302104,3.5308952,26.481714
302201,0,30.215828
302202,0,39.731052
302301,0,18.214285
302302,0,25.881262
302401,10.785463,23.094959
302503,0,31.461988
302504,2.3279352,47.165993
302505,0,33.903419
302506,0,30.313589
310100,0,10.609858
310201,0,12.199037
310202,0.8998875,14.173228
310300,0,7.0469799
310400,1.5789474,24.385965
310501,0,14.585909
310601,0,40.705128
310602,0,15.875913
310701,0,20
310702,0,22.997416
310703,0,19.601677
310800,1.6129032,27.661291
310900,0,30.049669
311000,0,16.885744
311100,1.2889366,8.4854994
311200,0,27.058823
311300,0,32.606438
311400,2.4691358,14.567902
311500,0,14.587738
311600,0,37.730358
311700,0,15.354331
311801,0,34.405594
311802,0,70.278969
320000,,
320100,0.88582677,31.938976
320201,0,36.49329
320202,0,31.139549
320300,0,45.180397
400204,1.5772871,8.6750784
400205,0,3.1969309
400206,1.2998267,9.7053728
400207,0,14.442231
400302,4.1221375,21.068703
400304,2.2525597,27.098976
400402,0,29.76313
400403,0,32.459015
400404,0,10.361217
400501,0,8.1023455
400602,1.6781836,45.310959
400603,0,43.90863
400604,0,19.047619
400800,6.1827955,18.548388
400900,0,27.645788
401001,0,9.236948
401002,0,26.898735
401101,0,29.354355
401102,0,46.842876
401201,0,15.664161
401202,0,25.383142
401203,0,20.649458
401303,0,47.766991
401304,0,2.3952096
401311,2.5827279,28.571428
401312,0,20.106382
401500,0,34.122871
401601,0,42.687748
401602,0,34.404762
401603,0,7.2222223
401701,0,16.666666
401703,3.5398231,37.972649
401704,0,26.079735
401800,0.89712918,24.222488
401901,0,13.888889
401902,0,14.132554
402001,0,32.772167
402002,0,8.9400921
402101,0,23.657719
402102,2.8671329,34.895103
402200,0,35.887096
402301,0,40.791954
402303,3.0278885,43.984062
402304,0,52.177017
402402,0,32.761906
402403,0,31.602112
402404,,
402405,0,31.075697
402406,0,20.076046
402501,0,40.760345
402502,0,36.101936
402600,0,49.388588
402702,0,57.176289
402703,0,31.228956
402705,0,27.710844
402706,0.42872456,29.153269
402801,0.55401665,55.844875
402803,0.7064364,44.976452
402804,0.67842603,32.700134
402902,1.469757,46.749577
402903,5.1159072,20.703438
402904,0,28.066298
403000,0.74231178,27.624603
403200,,
403303,0,39.423077
403304,0,20.530725
403305,0,16.179337
403312,0,15.06442
403316,0,16.88512
403317,0,19.218241
403318,0.68493152,22.678843
403319,0,11.804768
403320,0,15.141955
403321,0.62849164,24.162012
403322,0,12.796698
403323,0,35.376045
403324,0,15.042017
403325,0.7782101,20.817122
403401,0.40916529,13.175123
403402,0.71123755,16.073969
403403,0,13.325992
403404,0,14.496314
403405,0,18.648018
403406,0,10.162003
403407,0,25.958702
403408,0,9.8842382
403500,0,27.855154
403600,0,35.420395
