Area,Total_Population
552301,4824
552302,3759
552400,2639
552601,5465
552602,4690
552700,7080
552800,6094
552900,6762
553000,4749
553100,6723
553200,7677
553300,3349
553400,3628
553502,4094
553503,2684
553504,6414
553601,4745
553602,5222
553701,3965
553702,5017
553801,4268
553802,5857
553901,7068
553902,5689
554001,3812
554002,5896
554101,4332
554103,1614
554104,2653
554105,4244
554201,3960
554203,3843
554204,4221
554301,3720
554302,3766
554403,5959
554404,4149
554405,3082
554406,4756
554511,4022
554512,6018
554513,2540
554514,4854
554515,3963
554516,3720
554517,4333
554518,5488
554519,3506
554521,6086
554522,5171
554600,4604
554700,5078
554801,3415
554802,6083
554900,7287
555001,5465
555002,3099
555102,6917
555103,4507
555104,4006
555202,3315
555211,5588
555212,4743
570001,4420
570002,3114
570003,4760
570100,3143
570202,6168
570203,3869
570204,3897
570301,7887
570303,4169
570304,5043
570402,3421
570403,5463
570404,3347
570501,6937
570502,6531
570601,5729
570602,6955
570603,5034
570701,6224
570702,2379
570800,5754
570901,5902
570902,3725
571000,5813
571101,4777
571102,4062
571200,8179
571300,4466
571400,4766
571502,4485
571503,4200
571504,4717
571600,1961
571701,6287
571703,3876
571704,3816
571800,3189
571900,5885
572001,5419
572002,5568
572100,1077
572201,6844
572202,3727
572301,3835
572302,3713
572400,1218
572500,2997
572600,5617
572700,5653
572800,1041
572900,5508
573002,3742
573003,2016
573004,4471
573100,7548
573201,4937
573202,6636
573300,4382
573401,1438
573402,6648
573403,3354
573601,6083
573700,4941
573800,4376
573902,2142
574000,5574
574100,5265
574201,3061
574202,2148
574300,6126
574400,5310
574500,6157
574601,2142
574602,1277
574700,152
574800,2916
574901,3754
574902,4797
575001,3683
575002,4775
575101,4302
575102,4267
575103,4996
575201,4622
575202,4997
575300,5179
575401,5224
575402,4221
575500,37
575801,2260
575802,5282
575803,2884
575901,3365
575902,4699
576001,5422
576200,5564
576301,4682
576302,4485
576401,4761
576402,4882
576403,5578
576501,3140
576502,4734
576503,4206
576601,4464
576602,4263
576700,4104
576801,4220
576802,3833
576901,6672
576903,4469
576904,3150
577000,7203
577100,7238
577200,5279
577300,5505
577400,2973
577501,3534
577504,1447
577602,3423
577603,8073
577604,1314
599000,3571
599100,493
600100,7055
600201,4451
600202,6657
600302,2871
600303,4036
600304,3495
600400,4001
600501,2767
600502,2221
600601,2682
600602,2455
600702,4683
600703,1890
600704,3321
600801,3356
600802,2495
600902,6480
600911,3423
600912,5593
601001,1982
601002,5397
601100,6087
601202,3915
601211,3057
601212,6417
601301,1964
601302,7618
601303,4826
601401,5190
601402,5052
601501,3972
601502,4174
601600,4147
601700,5569
601801,3677
601802,4111
601900,5319
602002,3065
602003,5022
602004,4122
602103,6488
602104,5893
602105,4500
602106,5540
602200,8375
602301,6367
602302,3819
602402,6397
602403,5494
602404,6175
602504,4216
602505,4121
602506,4376
602507,4155
602508,6946
602509,4090
602600,8594
602700,3768
