Area,College_Graduation_Rate,Less_Than_High_School
224420,17.777779,48.673836
224600,9.9843178,52.378464
224700,50.934578,7.5934582
226001,4.0963855,59.196789
226002,35.035915,38.707104
226410,1.7200191,63.162926
226420,7.1428571,62.973137
226700,2.1835268,65.505806
227010,2.2028105,62.096466
227020,2.7983105,67.740234
228100,1.0118043,67.183807
228210,5.4162936,58.728737
228220,2.8716998,67.253357
228310,3.3157499,67.106255
228320,1.1143695,61.348972
228410,3.4897025,65.217392
228420,6.8774266,59.789242
228500,1.0699275,61.597248
228600,4.4278998,65.713165
228710,3.0346136,63.821716
228720,2.7391489,66.16098
228800,3.3957033,59.909908
228900,5.9539919,61.366711
229100,2.2892027,66.272415
229200,1.3250195,65.315666
229300,2.9895868,63.721867
229410,1.8201284,63.865097
229420,5.2838426,57.816593
231100,6.7391305,44.347828
231210,7.3170733,60.243904
231220,5.9713378,50.119427
231300,5.659204,47.512436
231400,4.6870084,48.631645
231500,11.520302,32.389046
231600,13.298504,42.840179
231710,7.8538814,61.872147
231720,6.5096092,53.533787
231800,2.5,67.985077
231900,5.6915741,55.80286
232110,5.3227634,44.280861
232120,4.8033528,56.640877
232200,4.5951862,37.855579
232300,8.8735962,40.709888
232400,6.9852943,32.077206
232500,10.542169,45.046856
232600,6.0564909,40.711571
232700,4.9647388,47.559944
232800,4.9823632,52.513229
234000,22.781654,21.061815
234200,29.272238,12.021564
234300,25.592258,9.9099102
234501,14.38806,20.35821
234502,15.042735,25.299145
234600,15.451545,20.552055
234700,4.9527411,30.321362
234800,15.277084,26.759861
234901,3.7304451,42.659447
234902,6.0153255,28.314177
235100,25.273104,13.286094
235201,16.427341,21.539345
235202,16.023432,22.260509
236000,40.936806,7.2062082
236100,26.574907,15.934357
236202,11.623068,34.482758
236203,12.455516,25.583235
236204,8.2463465,30.636744
236400,42.71986,5.6785092
237101,3.7276342,43.538769
237102,11.084624,43.98093
237201,5.1996288,44.42897
237202,3.7950664,47.47628
237300,15.323295,24.62356
237401,9.0867157,30.996309
237402,7.4271846,40.485435
237500,8.0438757,51.432053
237600,3.9879932,42.109776
237710,8.4636116,46.199459
237720,6.5070596,53.284222
237800,12.693992,30.083565
237900,17.533718,13.98844
238000,20.015617,19.000521
238100,16.872162,19.63011
238200,15.556152,24.180548
238310,6.0318666,44.499241
238320,3.7150128,49.567429
238400,23.666666,13.055555
239201,4.2198234,60.157017
239202,5.9871163,51.420994
239310,6.8774028,53.353268
239320,5.9883156,58.033108
239330,5.2631578,54.74894
239501,4.6403713,50.440834
239502,5.0766792,53.463776
239601,6.4205456,53.879078
239602,10.371603,56.57238
239701,2.6066351,54.699841
239702,3.4566698,42.599804
239801,2.6172302,57.470013
239802,4.4742727,49.366146
240010,1.6787913,60.268608
240020,5.2521739,48.173912
240200,4.7323761,49.34726
240300,6.1433449,40.03413
240401,9.3065691,40.656933
