Area,No_Vehicle_Households
277400,9.2920351
278001,4.189044
278102,0.61182868
291110,17.056856
291120,11.396469
291130,10.079841
291210,5.8001399
291220,16.650717
291300,5.0777202
292000,9.3784685
293201,2.1800947
293202,8.8876143
293301,4.2430086
293302,3.4313726
293304,6.6387143
293306,3.4263959
293307,21.064552
294110,8.333333
294120,7.2727275
294200,3.7341299
294301,0
294302,5.7046981
294410,7.0802007
294421,8.4033613
294510,4.4423442
294520,13.592233
294610,14.723404
294620,15.276558
294701,23.321554
294810,11.301716
294820,18.463303
294830,18.965517
294900,6.1320753
295103,2.7846842
296210,20.283533
296220,23.067253
296300,3.9673913
296401,8.4693089
296402,3.3598585
296500,5.9467916
296600,18.724279
296901,13.460231
296902,7.2969542
297000,5.4669704
297110,28.346952
297120,8.4249086
297201,10.606061
297202,5.6980057
297300,7.1240106
297400,2.0792723
297500,3.7950664
297601,2.7586207
297602,8.1874647
300100,2.3845763
300200,5.3544111
300301,4.2266603
300400,3.1217482
300501,0.99206346
300502,5.1903114
300600,12.892612
300701,1.1865212
300702,5.8013768
300800,3.2484312
300901,3.3929391
300902,0
301000,8.4050636
301100,9.492445
301203,7.4537539
301204,12.26601
301205,0.54570258
301206,6.7517276
301300,4.0057225
301400,3.7126715
301501,3.1561463
301502,18.411406
301601,27.858986
301602,3.3952594
301701,11.391223
301702,13.10705
301801,12.656784
301802,18.4774
301900,12.222222
302002,14.302741
302003,21.026724
302004,17.128464
302102,13.220205
302103,17.677025
302104,11.818825
302201,37.052505
302202,20.653318
302301,5.4332876
302302,20.785219
302401,19.388235
302503,19.877468
302504,22.032742
302505,26.863667
302506,16.557257
310100,0.68385059
310201,2.7562864
310202,8.5552406
310300,4.4221106
310400,4.7694755
310501,9.1192522
310601,3.6739864
310602,3.125
310701,28.682842
310702,18.65226
310703,12.009926
310800,9.8950529
310900,4.5164042
311000,5.8742228
311100,3.4428794
311200,5.9885154
311300,6.329114
311400,1.6718913
311500,9.9916391
311600,6.4704323
311700,7.4074073
311801,10.231023
311802,9.7927094
320000,
320100,2.9799428
320201,11.282546
320202,4.5954695
320300,11.842834
400204,0
400205,3.3630068
400206,2.7027028
400207,0.71382219
400302,11.73913
400304,7.9020152
400402,1.43613
400403,2.4595923
400404,1.0752689
400501,3.1205673
400602,8.3459787
400603,2.2366097
400604,6.680162
400800,5.2325583
400900,2.5695932
401001,2.8818443
401002,7.3710074
401101,12.866927
401102,7.9887218
401201,1.774043
401202,2.0149255
401203,1.2805588
401303,0.84337348
401304,5.3632374
401311,3.2863851
401312,9.4017096
401500,5.976757
401601,10.682927
401602,5.7385759
401603,13.464567
401701,8.746356
401703,6.3648295
401704,15.059927
401800,2.2346368
401901,0
401902,10.520362
402001,7.8449054
402002,15.546772
402101,2.4456522
402102,4.538578
402200,7.3950381
402301,6.6023741
402303,10.595447
402304,11.088083
402402,1.2833675
402403,2.2222223
402404,
402405,4.375
402406,6.4901795
402501,8.4291191
402502,10.409357
402600,8.1624451
402702,13.398058
402703,6.4082279
402705,5.1311288
402706,6.2374244
402801,18.143459
402803,7.2503419
402804,7.881269
402902,12.801101
402903,5.4711246
402904,2.6474128
403000,4.6465969
403200,
403303,3.3635187
403304,3.2736256
403305,2.3255813
403312,0.83708948
403316,2.7118645
403317,0.89593387
403318,0.97686374
403319,0.57361376
403320,1.0011779
403321,3.6682615
403322,1.1914217
403323,4.0350876
403324,1.6352825
403325,0.87306917
403401,1.2140576
403402,3.9961014
403403,0
403404,2.6385224
403405,2.3166022
403406,2.1454113
403407,1.3803681
403408,3.9752195
403500,21.308725
403600,1.2814646
403702,3.9667897
403703,5.2491693
403721,4.2297978
403722,5.8536587
403801,2.9015543
403802,5.3147573
403901,2.7233117
403902,4.0027604
404000,4.2004423
404100,0.59568131
404201,8.0612249
404202,9.9590721
404301,5.730659
404302,4.4444447
404401,6.2032084
404402,2.1602161
404501,4.8622365
404503,2.4460433
404504,12.261995
404600,3.9215686
404701,9.4980698
404702,6.484375
404703,2.9870131
404801,6.6990814
404802,6.7089753
404803,6.855792
404901,1.8306636
404902,0
404903,1.997147
405001,1.8768768
405002,2.635432
405101,4.9700084
405102,11.583924
405201,6.3271604
405202,12.377049
405203,8.2725058
405301,4.9800797
405302,1.6600266
405400,0
405500,6.1394382
405600,3.2806804
405701,9.4083414
405702,6.0773482
405800,1.992528
405900,5.4545455
406000,2.0261438
406101,5.0566697
406102,6.8770609
406200,16.712479
406300,1.40433
406402,1.1705686
406411,5.3537283
406412,1.9255456
406500,2.5265286
406601,0.40733197
406602,3.0516431
406701,0.53879309
406702,7.398119
406800,5.5981593
406901,8.1463013
406902,12.254335
407001,1.188455
407002,9.0296497
407101,1.8214936
407102,5.4099746
407200,7.6506433
407301,3.740876
407302,5.1655631
407400,4.8473969
407501,3.3570702
407502,3.8596492
407601,9.021842
407602,1.5963511
407701,9.4288301
407702,4.1958041
407801,3.6199095
407802,3.0037546
407900,0.47716427
408003,0.75503355
408004,4.0816326
408005,3.9973352
408006,3.7418149
408133,5.2432089
408134,1.6229713
408135,0.91896409
408136,3.4058657
408137,10.231814
408138,6.7906227
408139,7.1608038
408140,5.4719563
408141,1.4939309
408202,2.8508773
408211,6.1686473
408212,5.319149
408301,5.6059356
408302,0.89445436
408303,0
408401,5.1428571
408402,1.394538
408501,6.5162907
408503,4.4730077
408504,1.619171
408505,1.8796992
408623,2.9268293
408624,0.5780347
408625,2.8458498
408626,7.216495
408627,1.0764263
408628,7.7620397
408629,3.6263735
408630,5.7301292
408631,1.0211525
408703,1.7543859
408704,19.123507
408705,3.6875
408706,2.4439919
408722,1.272872
408723,3.1094527
408724,11.016394
408800,17.647058
430002,8.8653927
430003,1.4464169
430101,21.73913
430102,3.9611964
430200,10.256411
430301,1.4566181
430302,2.7288733
430400,0
430501,2.4621212
430502,2.2342587
430600,0.92002833
430701,7.8988128
430721,2.9695024
430723,5.5359244
430724,12.819203
430801,0.55295616
430802,1.2241775
430803,1.7445133
430901,2.8007638
430902,3.365973
431001,3.7640667
431002,6.0435133
431100,9.3535748
431200,6.0967526
